,sel_freq,t_stat,sign,sign_stability,dominant_sign_label,ic_mean,ic_std,n_pos,n_neg,n_zero,feat_w
me,0.8888888888888888,17.516302223998625,1,1.0,+,0.04718052156119526,0.012963140422802305,72,0,0,0.9444444197404834
be_me,0.2638888888888889,2.682696202749401,1,0.6666666666666666,+,0.010466293751964213,0.018101539222157587,48,24,0,0.5679422764624003
sale_me,0.16666666666666666,5.059908287078499,1,0.8611111111111112,+,0.020919222865309627,0.01896650764652725,62,10,0,0.5770272113663132
ni_me,0.09722222222222222,14.646917179154318,1,1.0,+,0.04785621244806477,0.015390644759320492,72,0,0,0.5486106756749394
ocf_me,0.06944444444444445,12.741542950451878,1,1.0,+,0.044480852943916745,0.01606149433488209,72,0,0,0.5347192952612306
fcf_me,0.05555555555555555,15.443934652651775,1,1.0,+,0.05036212831525702,0.01502614995774223,72,0,0,0.5277775815392323
ebitda_mev,0.027777777777777776,12.452382874847821,1,1.0,+,0.04653852092003801,0.017276080531040367,72,0,0,0.5138849805057277
div12m_me,0.013888888888888888,10.468293640066818,1,1.0,+,0.030120701299137385,0.01391158472403654,72,0,0,0.5069160217338397
gp_at,0.08333333333333333,14.34476952343993,1,1.0,+,0.03119021831015384,0.010309196795586477,72,0,0,0.5416660776257056
ope_be,0.4166666666666667,22.530319730691623,1,1.0,+,0.04308466438089927,0.008960929455643824,72,0,0,0.7083333331691964
cop_at,0.1527777777777778,25.31098073862639,1,1.0,+,0.03692994019333218,0.006674069877962914,72,0,0,0.5763888888787128
ocf_at,0.2222222222222222,29.994656587614486,1,1.0,+,0.049464698987041256,0.007699077747908161,72,0,0,0.611111111111017
op_at,0.18055555555555555,38.5892110054557,1,1.0,+,0.04648104090655832,0.006337130606363821,72,0,0,0.5902777777777778
niq_be,0.4583333333333333,18.62235016481679,1,1.0,+,0.050447980452514765,0.012518959051944516,72,0,0,0.7291666584930159
ret_1_0,1.0,-1.3109694869583044,-1,0.5833333333333334,-,-0.005536374012219732,0.019589791682118673,30,42,0,0.7876753409064626
ret_6_1,0.875,4.863941135345408,1,0.8611111111111112,+,0.022026624410085696,0.02077971449748944,62,10,0,0.9298391435006278
ret_12_1,0.8055555555555556,6.112365558478312,1,0.9027777777777778,+,0.02995738558403925,0.023136032573372992,65,7,0,0.9005673703245901
ret_60_12,0.4583333333333333,4.703975935006331,1,0.7916666666666666,+,0.012560550663804008,0.012912786318715837,57,15,0,0.7201888120621492
resff3_12_1,0.6527777777777778,8.790512925584117,1,1.0,+,0.015854699504126917,0.00855078919607105,72,0,0,0.8262367421452113
seas_1_1an,0.9305555555555556,5.069633621557656,1,0.8333333333333334,+,0.017337194544443654,0.015483663628482103,60,12,0,0.9590323065244614
at_gr1,0.5138888888888888,-1.7173385893847273,-1,0.6527777777777778,-,-0.005924709625382629,0.016467995717840852,25,47,0,0.6047301565914737
sale_gr1,0.25,-0.9666765095291361,1,0.5138888888888888,+,-0.0030407395958800456,0.014917681475188588,37,35,0,0.3494565602539922
capx_gr1,0.1527777777777778,-2.949907038347853,-1,0.6805555555555556,-,-0.004657066280975508,0.007475824592991099,23,49,0,0.5266479835192883
inv_gr1,0.1111111111111111,-4.176773726823158,-1,0.875,-,-0.007514734850004635,0.008618337947327599,9,63,0,0.5404396098140313
noa_gr1a,0.027777777777777776,-4.060800743777208,-1,0.8611111111111112,-,-0.011424638265779368,0.013104050581406235,10,62,0,0.4969456958243585
emp_gr1,0.2361111111111111,-1.996827620995926,-1,0.5416666666666666,-,-0.005427971187506425,0.012449394519468146,33,39,0,0.4985191515100472
beta_60m,0.7083333333333334,-4.750381075462356,-1,0.8194444444444444,-,-0.01891225804877591,0.01954532291170636,13,59,0,0.8455924212784163
ivol_capm_21d,0.16666666666666666,-18.91228462594564,-1,1.0,-,-0.07097755613365109,0.018077826312590382,0,72,0,0.5833333272168874
ivol_ff3_21d,0.0,-18.166170059262654,-1,1.0,-,-0.07038923669670244,0.018495057574360478,0,72,0,0.4999999871016968
rvol_21d,0.8333333333333334,-16.349793757356274,-1,1.0,-,-0.06609515632734451,0.019530271654993582,0,72,0,0.9166665873481186
rmax1_21d,0.0,-17.132662568909545,-1,1.0,-,-0.06085132689821631,0.017103047124886344,0,72,0,0.49999996374405997
rmax5_21d,0.0,-16.764986582904502,-1,1.0,-,-0.06417861324285812,0.018335149682519043,0,72,0,0.49999994763286504
rmax5_rvol_21d,0.9861111111111112,-4.391312990732597,-1,0.7638888888888888,-,-0.01433592980232382,0.014889410648002352,17,55,0,0.9808225962621478
dolvol,0.8888888888888888,5.633554475719731,1,0.8472222222222222,+,0.018184695185664672,0.015226151335574352,61,11,0,0.9408813430674682
turnover_126d,0.9722222222222222,-6.422519496857175,-1,0.9444444444444444,-,-0.0234849813840303,0.017335386479630698,4,68,0,0.9844891880138338
ami_126d,0.9305555555555556,-10.107322519256012,-1,1.0,-,-0.02858088287204412,0.013567262439866576,0,72,0,0.9652369995926698
bidaskhl_21d,1.0,-15.915518402349976,-1,1.0,-,-0.06426735838379753,0.01923248826241314,0,72,0,0.9999998775445472
qmj,0.2638888888888889,20.957839320794324,1,1.0,+,0.0329960572219252,0.00786586783800875,72,0,0,0.6319444436535364
f_score,0.041666666666666664,10.038556742557837,1,0.9722222222222222,+,0.026255007878739092,0.012411840900929262,70,2,0,0.5207896524683668
o_score,0.2361111111111111,-17.009930785029134,-1,1.0,-,-0.04100349487051428,0.011669896482976646,0,72,0,0.6180555145652736
z_score,0.3888888888888889,2.2344007989710706,1,0.75,+,0.007581710329704953,0.015688690198329084,54,18,0,0.5977409047625911
oaccruals_at,0.9444444444444444,-0.503149512797331,-1,0.5277777777777778,-,-0.0013781433299774443,0.012445230086029994,34,38,0,0.5954214146564627
taccruals_at,0.8888888888888888,1.567627165974854,1,0.5972222222222222,+,0.004167205727305852,0.012083446441930414,43,29,0,0.7718895233190624
cash_at,1.0,-3.942264961988554,-1,0.8888888888888888,-,-0.018233922335499538,0.020921314136603794,8,64,0,0.9809651413660374
chcsho_12m,0.0,-9.979762878819518,-1,0.9861111111111112,-,-0.03443418136065879,0.01637051713200033,1,71,0,0.4999536740929479
eqnpo_12m,1.0,15.686366562772704,1,1.0,+,0.05422015492894101,0.016464557860757924,72,0,0,0.999999846008236
netis_at,1.0,-9.929126740395724,-1,1.0,-,-0.036248455434289034,0.016767454579899362,0,72,0,0.9999512680396713
age,1.0,9.962840931017942,1,1.0,+,0.03113222253796868,0.014971956760620405,72,0,0,0.9999528835352797
at_me,1.0,2.9835054911751158,1,0.7916666666666666,+,0.014556759561326814,0.022334028007844165,57,15,0,0.9518233726603885
niq_su,1.0,6.65268181399361,1,0.9583333333333334,+,0.010765429656233148,0.007814934445579262,69,3,0,0.9987111069610929
mispricing_mgmt,1.0,13.177093023102117,1,1.0,+,0.026230495295584903,0.009395411839139773,72,0,0,0.9999981065214475
